material_id,cpse_name,cpse_material_code,category,noun,modifier,description,unit_of_measure,attribute_values,technical_spec,unspsc_code,functional_equivalent_group,common_national_material_code,is_duplicate,ai_match_confidence,best_match_material_id,best_match_cpse,best_match_code,best_match_description
738,ONGC,ON000738,Instruments,TEMPERATURE TRANSMITTER,SMART,TEMPERATURE TRANSMITTER-SMART Accuracy:STD,NOS,"{'Range': '0-16 BAR', 'Accuracy': 'STD', 'Output Signal': 'LIGHT', 'Process Connection': 'HEAVY', 'Housing Material': 'CARBON STEEL'}",Range: 0-16 BAR | Accuracy: STD | Output Signal: LIGHT | Process Connection: HEAVY | Housing Material: CARBON STEEL,41000059,738,CNMC-000738,True,100.0,740,GAIL,GA000740,TEMPERATURE TRANSMITTER-SMART Accuracy:STD
713,CPCL,CP000713,Instruments,PRESSURE GAUGE,SMART,PRESSURE GAUGE SMART TYPE Housing Material:STAINLESS STEL 304,EACH,"{'Range': '0-25 BAR', 'Accuracy': 'HEAVY', 'Output Signal': 'HIGH', 'Process Connection': 'HIGH', 'Housing Material': 'STAINLESS STEEL 304'}",Range: 0-25 BAR | Accuracy: HEAVY | Output Signal: HIGH | Process Connection: HIGH | Housing Material: STAINLESS STEEL 304,41000061,713,CNMC-000713,False,59.4,697,BHEL,BH000697,pressure gauge smart type housing material:stainless stel 316
175,GAIL,GA000175,Valves,VALVE,GLOBE,"VALVE GLOBE TYPE Size:3/4""",NOS,"{'Size': '3/4""', 'Pressure Rating': '300 PSI', 'Body Material': 'CARBON STEEL', 'End Connection': 'HEAVY', 'Temperature Rating': '5KW'}","Size: 3/4"" | Pressure Rating: 300 PSI | Body Material: CARBON STEEL | End Connection: HEAVY | Temperature Rating: 5KW",40140061,175,CNMC-000175,True,100.0,178,HPCL,HP000178,"VALVE GLOBE TYPE Size:3/4"""
310,SAIL,SA000310,Fasteners,BOLT,SOCKET HEAD,"socket head type bolt diameter:12""",NOS,"{'Diameter': '12""', 'Length': '20FT', 'Thread Pitch': 'NORMAL', 'Material Grade': 'STAINLESS STEEL 304', 'Finish': 'HEAVY'}","Diameter: 12"" | Length: 20FT | Thread Pitch: NORMAL | Material Grade: STAINLESS STEEL 304 | Finish: HEAVY",31160064,310,CNMC-000310,True,85.6,311,BHEL,BH000311,"BOLT, SOCKET HEAD Diameter:12"""
496,ONGC,ON000496,Pumps,PUMP,MULTISTAGE,pump-multistage flow rate:10 m3/h,EACH,"{'Flow Rate': '10 M3/H', 'Head': 'STD', 'Power': '50HP', 'Speed': 'NORMAL', 'Impeller Material': 'STAINLESS STEEL 304'}",Flow Rate: 10 M3/H | Head: STD | Power: 50HP | Speed: NORMAL | Impeller Material: STAINLESS STEEL 304,40150077,496,CNMC-000496,False,59.1,497,BHEL,BH000497,pump-multistage speed:normal
542,NTPC,NT000542,Electrical,MOTOR,CONTROL,MOTOR (CONTROL) Voltage:33KV,EACH,"{'Voltage': '33KV', 'Current Rating': '10KW', 'Power Rating': '20HP', 'Conductor Material': 'STAINLESS STEEL 304', 'Insulation Type': 'NORMAL'}",Voltage: 33KV | Current Rating: 10KW | Power Rating: 20HP | Conductor Material: STAINLESS STEEL 304 | Insulation Type: NORMAL,26000034,542,CNMC-000542,True,100.0,544,CCL,CC000544,MOTOR-CONTROL Voltage:33KV
517,GAIL,GA000517,Electrical,CIRCUIT BREAKER,POWER,CIRCUIT BREAKER (POWER) Insulation Type:HIGH,NOS,"{'Voltage': '415V', 'Current Rating': '50KW', 'Power Rating': '100HP', 'Conductor Material': 'STAINLESS STEEL 304', 'Insulation Type': 'HIGH'}",Voltage: 415V | Current Rating: 50KW | Power Rating: 100HP | Conductor Material: STAINLESS STEEL 304 | Insulation Type: HIGH,26000027,516,CNMC-000516,True,100.0,516,SAIL,SA000516,"CIRCUIT BREAKER, POWER Insulation Type:HIGH"
339,CPCL,CP000339,Fasteners,BOLT,HEX HEAD,BOLT HEX HEAD TYPE Length:6M,NOS,"{'Diameter': '3/4""', 'Length': '6M', 'Thread Pitch': 'STD', 'Material Grade': 'STAINLESS STEEL 304', 'Finish': 'HIGH'}","Diameter: 3/4"" | Length: 6M | Thread Pitch: STD | Material Grade: STAINLESS STEEL 304 | Finish: HIGH",31160064,334,CNMC-000334,True,100.0,335,HPCL,HP000335,BOLT HEX HEAD TYPE Length:6M
450,BHEL,BH000450,Pumps,PUMP,MULTISTAGE,PUMP MULTISTAGE TYPE Impeller Material:STAINLESS STEEL 304,NOS,"{'Flow Rate': '200 M3/H', 'Head': 'STD', 'Power': '10HP', 'Speed': 'LIGHT', 'Impeller Material': 'STAINLESS STEEL 304'}",Flow Rate: 200 M3/H | Head: STD | Power: 10HP | Speed: LIGHT | Impeller Material: STAINLESS STEEL 304,40150077,450,CNMC-000450,False,75.4,413,BHEL,BH000413,PUMP-MULTISTAGE Impeller Material:STAINLESS STEEL 304
68,ONGC,ON000068,Pipes & Tubes,TUBE,WELDED,TUBE WELDED TYPE Wall Thickness:12mm,METER,"{'Diameter': '4""', 'Wall Thickness': '12mm', 'Length': '10FT', 'Material Grade': 'STAINLESS STEEL 316', 'End Type': 'HEAVY'}","Diameter: 4"" | Wall Thickness: 12mm | Length: 10FT | Material Grade: STAINLESS STEEL 316 | End Type: HEAVY",27100037,68,CNMC-000068,False,63.5,67,GAIL,GA000067,WELDED TYPE TUBE End Type:HEAVY
880,BPCL,BP000880,Instruments,PRESSURE GAUGE,ANALOG,PRESSURE GAUGE ANALOG CUSTOM,NOS,{},,41000061,880,CNMC-000880,False,50.0,767,ONGC,ON000767,PRESSURE GAUGE ANALOG SPECIAL
793,NTPC,NT000793,Pipes & Tubes,PIPE,CARBON STEEL,PIPE CARBON STEEL HEAVY,METER,{},,27100067,793,CNMC-000793,False,52.8,2,GAIL,GA000002,PIPE-CARBON STEEL Length:3M
591,NTPC,NT000591,Gaskets & Seals,PACKING,GRAPHITE,PACKING (GRAPHITE) Material:ALLOY STEL,NOS,"{'Inner Diameter': '12""', 'Outer Diameter': '3/4""', 'Thickness': '12mm', 'Material': 'ALLOY STEEL', 'Pressure Rating': '2500 PSI'}","Inner Diameter: 12"" | Outer Diameter: 3/4"" | Thickness: 12mm | Material: ALLOY STEEL | Pressure Rating: 2500 PSI",31180089,591,CNMC-000591,False,79.3,592,BPCL,BP000592,PACKING GRAPHITE TYPE Material:ALLOY STEEL
405,BPCL,BP000405,Fasteners,WASHER,SOCKET HEAD,"SOCKET HEAD TYPE WASHER Diameter:4""",KG,"{'Diameter': '4""', 'Length': '20FT', 'Thread Pitch': 'LIGHT', 'Material Grade': 'CARBON STEEL', 'Finish': 'HIGH'}","Diameter: 4"" | Length: 20FT | Thread Pitch: LIGHT | Material Grade: CARBON STEEL | Finish: HIGH",31160015,404,CNMC-000404,True,86.5,404,BHEL,BH000404,"SOCKET HEAD WASHER Diameter:4"""
544,CCL,CC000544,Electrical,MOTOR,CONTROL,MOTOR-CONTROL Voltage:33KV,NOS,"{'Voltage': '33KV', 'Current Rating': '10KW', 'Power Rating': '20HP', 'Conductor Material': 'STAINLESS STEEL 304', 'Insulation Type': 'NORMAL'}",Voltage: 33KV | Current Rating: 10KW | Power Rating: 20HP | Conductor Material: STAINLESS STEEL 304 | Insulation Type: NORMAL,26000034,542,CNMC-000542,True,100.0,542,NTPC,NT000542,MOTOR (CONTROL) Voltage:33KV
347,CCL,CC000347,Fasteners,WASHER,LOCK,WASHER (LOCK) Length:6M,NOS,"{'Diameter': '3""', 'Length': '6M', 'Thread Pitch': 'LIGHT', 'Material Grade': 'STAINLESS STEEL 316', 'Finish': 'STD'}","Diameter: 3"" | Length: 6M | Thread Pitch: LIGHT | Material Grade: STAINLESS STEEL 316 | Finish: STD",31160015,347,CNMC-000347,False,60.0,346,BPCL,BP000346,"LOCK TYPE WASHER Diameter:3"""
31,HPCL,HP000031,Pipes & Tubes,TUBE,GALVANIZED,"GALVANIZED TUBE Diameter:3""",METER,"{'Diameter': '3""', 'Wall Thickness': '12mm', 'Length': '10FT', 'Material Grade': 'ALLOY STEEL', 'End Type': 'STD'}","Diameter: 3"" | Wall Thickness: 12mm | Length: 10FT | Material Grade: ALLOY STEEL | End Type: STD",27100037,29,CNMC-000029,True,80.9,29,ONGC,ON000029,"GALVANIZED TYPE TUBE Diameter:3"""
802,SAIL,SA000802,Pumps,PUMP,POSITIVE DISPLACEMENT,PUMP POSITIVE DISPLACEMENT CUSTOM,NOS,{},,40150077,787,CNMC-000787,True,80.0,787,NTPC,NT000787,PUMP POSITIVE DISPLACEMENT CUSTOM
695,CPCL,CP000695,Instruments,PRESSURE GAUGE,SMART,SMART PRESSURE GAUGE Accuracy:STD,NOS,"{'Range': '0-40 BAR', 'Accuracy': 'STD', 'Output Signal': 'LIGHT', 'Process Connection': 'HIGH', 'Housing Material': 'STAINLESS STEEL 316'}",Range: 0-40 BAR | Accuracy: STD | Output Signal: LIGHT | Process Connection: HIGH | Housing Material: STAINLESS STEEL 316,41000061,695,CNMC-000695,True,81.2,698,CCL,CC000698,PRESSURE GAUGE SMART TYPE Accuracy:STD
251,HPCL,HP000251,Bearings,BEARING,ROLLER,bearing-roller load rating:100hp,NOS,"{'Inside Diameter': '3/4""', 'Outside Diameter': '1""', 'Width': '10mm', 'Load Rating': '100HP', 'Seal Type': 'NORMAL'}","Inside Diameter: 3/4"" | Outside Diameter: 1"" | Width: 10mm | Load Rating: 100HP | Seal Type: NORMAL",31170062,249,CNMC-000249,True,87.2,249,CPCL,CP000249,ROLLER TYPE BEARING Load Rating:100HP
631,IOCL,IO000631,Gaskets & Seals,SEAL,GRAPHITE,"seal, graphite outer diameter:2""",EACH,"{'Inner Diameter': '2""', 'Outer Diameter': '2""', 'Thickness': '8mm', 'Material': 'STAINLESS STEEL 316', 'Pressure Rating': '1500 PSI'}","Inner Diameter: 2"" | Outer Diameter: 2"" | Thickness: 8mm | Material: STAINLESS STEEL 316 | Pressure Rating: 1500 PSI",31180047,626,CNMC-000626,True,83.7,626,HPCL,HP000626,"GRAPHITE SEAL Outer Diameter:2"""
261,HPCL,HP000261,Bearings,BEARING,BALL,"bearing (ball) inside diameter:3""",EACH,"{'Inside Diameter': '3""', 'Outside Diameter': '1""', 'Width': '8mm', 'Load Rating': '10HP', 'Seal Type': 'STD'}","Inside Diameter: 3"" | Outside Diameter: 1"" | Width: 8mm | Load Rating: 10HP | Seal Type: STD",31170062,261,CNMC-000261,False,73.7,262,NTPC,NT000262,"BEARING (BALL) Outside Diameter:1"""
301,BPCL,BP000301,Bearings,BEARING,SPHERICAL,BEARING-SPHERICAL Width:8mm,EACH,"{'Inside Diameter': '3""', 'Outside Diameter': '6""', 'Width': '8mm', 'Load Rating': '15HP', 'Seal Type': 'STD'}","Inside Diameter: 3"" | Outside Diameter: 6"" | Width: 8mm | Load Rating: 15HP | Seal Type: STD",31170062,297,CNMC-000297,True,100.0,297,CCL,CC000297,"BEARING, SPHERICAL Width:8mm"
482,IOCL,IO000482,Pumps,PUMP,MULTISTAGE,PUMP-MULTISTAGE Impeller Material:BRONZE,NOS,"{'Flow Rate': '25 M3/H', 'Head': 'HEAVY', 'Power': '25HP', 'Speed': 'NORMAL', 'Impeller Material': 'BRONZE'}",Flow Rate: 25 M3/H | Head: HEAVY | Power: 25HP | Speed: NORMAL | Impeller Material: BRONZE,40150077,482,CNMC-000482,False,56.9,480,CPCL,CP000480,PUMP (MULTISTAGE) Speed:NORMAL
211,SAIL,SA000211,Bearings,BEARING,THRUST,THRUST TYPE BEARING Load Rating:100HP,NOS,"{'Inside Diameter': '4""', 'Outside Diameter': '3""', 'Width': '12mm', 'Load Rating': '100HP', 'Seal Type': 'HEAVY'}","Inside Diameter: 4"" | Outside Diameter: 3"" | Width: 12mm | Load Rating: 100HP | Seal Type: HEAVY",31170062,211,CNMC-000211,False,71.5,210,CPCL,CP000210,"THRUST TYPE BEARING Inside Diameter:4"""
626,HPCL,HP000626,Gaskets & Seals,SEAL,GRAPHITE,"GRAPHITE SEAL Outer Diameter:2""",EACH,"{'Inner Diameter': '2""', 'Outer Diameter': '2""', 'Thickness': '8mm', 'Material': 'STAINLESS STEEL 316', 'Pressure Rating': '1500 PSI'}","Inner Diameter: 2"" | Outer Diameter: 2"" | Thickness: 8mm | Material: STAINLESS STEEL 316 | Pressure Rating: 1500 PSI",31180047,626,CNMC-000626,True,83.7,631,IOCL,IO000631,"seal, graphite outer diameter:2"""
24,IOCL,IO000024,Pipes & Tubes,TUBING,WELDED,"TUBING, WELDED Material Grade:ALLOY STEL",FOOT,"{'Diameter': '8""', 'Wall Thickness': '2mm', 'Length': '10FT', 'Material Grade': 'ALLOY STEEL', 'End Type': 'STD'}","Diameter: 8"" | Wall Thickness: 2mm | Length: 10FT | Material Grade: ALLOY STEEL | End Type: STD",27100056,22,CNMC-000022,True,89.6,22,CPCL,CP000022,"tubing, welded material grade:alloy steel"
654,BHEL,BH000654,Gaskets & Seals,PACKING,RUBBER,"PACKING, RUBBER Material:STAINLESS STEEL 316",NOS,"{'Inner Diameter': '12""', 'Outer Diameter': '2""', 'Thickness': '3mm', 'Material': 'STAINLESS STEEL 316', 'Pressure Rating': '600 PSI'}","Inner Diameter: 12"" | Outer Diameter: 2"" | Thickness: 3mm | Material: STAINLESS STEEL 316 | Pressure Rating: 600 PSI",31180089,654,CNMC-000654,False,61.4,655,NTPC,NT000655,"PACKING RUBBER TYPE Outer Diameter:2"""
685,IOCL,IO000685,Instruments,CONTROL VALVE,ANALOG,"CONTROL VALVE, ANALOG Process Connection:HEAVY",NOS,"{'Range': '0-16 BAR', 'Accuracy': 'STD', 'Output Signal': 'HEAVY', 'Process Connection': 'HEAVY', 'Housing Material': 'CAST IRON'}",Range: 0-16 BAR | Accuracy: STD | Output Signal: HEAVY | Process Connection: HEAVY | Housing Material: CAST IRON,41000013,683,CNMC-000683,True,90.5,683,NTPC,NT000683,ANALOG CONTROL VALVE Process Connection:HEAVY
410,BPCL,BP000410,Fasteners,BOLT,FLANGE,"FLANGE TYPE BOLT Diameter:8""",KG,"{'Diameter': '8""', 'Length': '20FT', 'Thread Pitch': 'HIGH', 'Material Grade': 'CAST IRON', 'Finish': 'HEAVY'}","Diameter: 8"" | Length: 20FT | Thread Pitch: HIGH | Material Grade: CAST IRON | Finish: HEAVY",31160064,410,CNMC-000410,False,59.0,409,ONGC,ON000409,BOLT-FLANGE Finish:HEAVY
64,NTPC,NT000064,Pipes & Tubes,TUBING,GALVANIZED,GALVANIZED TYPE TUBING End Type:HEAVY,METER,"{'Diameter': '10""', 'Wall Thickness': '3mm', 'Length': '6M', 'Material Grade': 'BRONZE', 'End Type': 'HEAVY'}","Diameter: 10"" | Wall Thickness: 3mm | Length: 6M | Material Grade: BRONZE | End Type: HEAVY",27100056,62,CNMC-000062,True,85.1,62,SAIL,SA000062,TUBING-GALVANIZED End Type:HEAVY
487,BHEL,BH000487,Pumps,PUMP,POSITIVE DISPLACEMENT,POSITIVE DISPLACEMENT PUMP Speed:HEAVY,EACH,"{'Flow Rate': '25 M3/H', 'Head': 'NORMAL', 'Power': '15HP', 'Speed': 'HEAVY', 'Impeller Material': 'STAINLESS STEEL 316'}",Flow Rate: 25 M3/H | Head: NORMAL | Power: 15HP | Speed: HEAVY | Impeller Material: STAINLESS STEEL 316,40150077,487,CNMC-000487,False,69.0,489,CPCL,CP000489,POSITIVE DISPLACEMENT PUMP Flow Rate:25 M3/H
830,CCL,CC000830,Electrical,SWITCH,LV,SWITCH LV CUSTOM,EACH,{},,26000002,830,CNMC-000830,False,51.4,876,BPCL,BP000876,SWITCH LV HEAVY
746,CCL,CC000746,Instruments,PRESSURE GAUGE,ANALOG,"PRESSURE GAUGE, ANALOG Range:0-16 BAR",NOSS,"{'Range': '0-16 BAR', 'Accuracy': 'STD', 'Output Signal': 'LIGHT', 'Process Connection': 'HEAVY', 'Housing Material': 'CAST IRON'}",Range: 0-16 BAR | Accuracy: STD | Output Signal: LIGHT | Process Connection: HEAVY | Housing Material: CAST IRON,41000061,746,CNMC-000746,False,61.5,744,GAIL,GA000744,PRESSURE GAUGE-ANALOG Output Signal:LIGHT
716,ONGC,ON000716,Instruments,PRESSURE GAUGE,ANALOG,PRESSURE GAUGE (ANALOG) Output Signal:HEAVY,EACH,"{'Range': '0-40 BAR', 'Accuracy': 'NORMAL', 'Output Signal': 'HEAVY', 'Process Connection': 'NORMAL', 'Housing Material': 'ALLOY STEEL'}",Range: 0-40 BAR | Accuracy: NORMAL | Output Signal: HEAVY | Process Connection: NORMAL | Housing Material: ALLOY STEEL,41000061,716,CNMC-000716,False,62.9,723,ONGC,ON000723,SMART TYPE PRESSURE GAUGE Output Signal:HEAVY
457,SAIL,SA000457,Pumps,PUMP,POSITIVE DISPLACEMENT,PUMP POSITIVE DISPLACEMENT TYPE Power:5HP,EACH,"{'Flow Rate': '100 M3/H', 'Head': 'STD', 'Power': '5HP', 'Speed': 'HIGH', 'Impeller Material': 'CARBON STEEL'}",Flow Rate: 100 M3/H | Head: STD | Power: 5HP | Speed: HIGH | Impeller Material: CARBON STEEL,40150077,457,CNMC-000457,False,66.7,458,IOCL,IO000458,positive displacement type pump flow rate:100 m3/h
291,NTPC,NT000291,Bearings,BEARING,BALL,bearing-ball width:20mm,EACH,"{'Inside Diameter': '4""', 'Outside Diameter': '3""', 'Width': '20mm', 'Load Rating': '10HP', 'Seal Type': 'NORMAL'}","Inside Diameter: 4"" | Outside Diameter: 3"" | Width: 20mm | Load Rating: 10HP | Seal Type: NORMAL",31170062,291,CNMC-000291,True,100.0,296,BPCL,BP000296,BEARING-BALL Width:20mm
356,CPCL,CP000356,Fasteners,STUD,HEX HEAD,"STUD HEX HEAD TYPE Diameter:1""",NOS,"{'Diameter': '1""', 'Length': '6M', 'Thread Pitch': 'STD', 'Material Grade': 'BRONZE', 'Finish': 'LIGHT'}","Diameter: 1"" | Length: 6M | Thread Pitch: STD | Material Grade: BRONZE | Finish: LIGHT",31160032,356,CNMC-000356,False,77.4,355,ONGC,ON000355,"HEX HEAD STUD Diameter:1"""
692,SAIL,SA000692,Instruments,CONTROL VALVE,DIGITAL,CONTROL VALVE (DIGITAL) Accuracy:NORMAL,NOS,"{'Range': '0-40 BAR', 'Accuracy': 'NORMAL', 'Output Signal': 'HEAVY', 'Process Connection': 'HEAVY', 'Housing Material': 'CAST IRON'}",Range: 0-40 BAR | Accuracy: NORMAL | Output Signal: HEAVY | Process Connection: HEAVY | Housing Material: CAST IRON,41000013,692,CNMC-000692,True,85.8,693,HPCL,HP000693,digital control valve accuracy:normal
260,IOCL,IO000260,Bearings,BEARING,BALL,BEARING-BALL Width:8mm,NOS,"{'Inside Diameter': '3""', 'Outside Diameter': '1""', 'Width': '8mm', 'Load Rating': '10HP', 'Seal Type': 'STD'}","Inside Diameter: 3"" | Outside Diameter: 1"" | Width: 8mm | Load Rating: 10HP | Seal Type: STD",31170062,260,CNMC-000260,True,87.8,264,BHEL,BH000264,BALL BEARING Width:8mm
458,IOCL,IO000458,Pumps,PUMP,POSITIVE DISPLACEMENT,positive displacement type pump flow rate:100 m3/h,NOS,"{'Flow Rate': '100 M3/H', 'Head': 'STD', 'Power': '5HP', 'Speed': 'HIGH', 'Impeller Material': 'CARBON STEEL'}",Flow Rate: 100 M3/H | Head: STD | Power: 5HP | Speed: HIGH | Impeller Material: CARBON STEEL,40150077,456,CNMC-000456,True,89.4,456,GAIL,GA000456,"PUMP, POSITIVE DISPLACEMENT Flow Rate:100 M3/H"
494,HPCL,HP000494,Pumps,PUMP,MULTISTAGE,PUMP-MULTISTAGE Power:100HP,NOSS,"{'Flow Rate': '100 M3/H', 'Head': 'HIGH', 'Power': '100HP', 'Speed': 'HIGH', 'Impeller Material': 'STAINLESS STEEL 304'}",Flow Rate: 100 M3/H | Head: HIGH | Power: 100HP | Speed: HIGH | Impeller Material: STAINLESS STEEL 304,40150077,494,CNMC-000494,False,61.4,493,NTPC,NT000493,"PUMP, MULTISTAGE Flow Rate:100 M3/H"
667,GAIL,GA000667,Instruments,FLOW METER,ELECTRONIC,ELECTRONIC TYPE FLOW METER Process Connection:HEAVY,NOS,"{'Range': '0-16 BAR', 'Accuracy': 'LIGHT', 'Output Signal': 'HEAVY', 'Process Connection': 'HEAVY', 'Housing Material': 'BRONZE'}",Range: 0-16 BAR | Accuracy: LIGHT | Output Signal: HEAVY | Process Connection: HEAVY | Housing Material: BRONZE,41000046,667,CNMC-000667,False,68.9,670,SAIL,SA000670,ELECTRONIC TYPE FLOW METER Range:0-16 BAR
214,HPCL,HP000214,Bearings,BEARING,BALL,"BEARING-BALL Inside Diameter:8""",NOSS,"{'Inside Diameter': '8""', 'Outside Diameter': '10""', 'Width': '2mm', 'Load Rating': '5HP', 'Seal Type': 'HEAVY'}","Inside Diameter: 8"" | Outside Diameter: 10"" | Width: 2mm | Load Rating: 5HP | Seal Type: HEAVY",31170062,214,CNMC-000214,True,100.0,219,BHEL,BH000219,"BEARING (BALL) Inside Diameter:8"""
809,BHEL,BH000809,Pumps,PUMP,MULTISTAGE,PUMP MULTISTAGE STD,EACH,{},,40150077,809,CNMC-000809,True,80.0,812,BHEL,BH000812,PUMP MULTISTAGE STD
137,GAIL,GA000137,Valves,VALVE,CHECK,VALVE CHECK TYPE Body Material:CAST IRON,EACH,"{'Size': '4""', 'Pressure Rating': '600 PSI', 'Body Material': 'CAST IRON', 'End Connection': 'HEAVY', 'Temperature Rating': '10HP'}","Size: 4"" | Pressure Rating: 600 PSI | Body Material: CAST IRON | End Connection: HEAVY | Temperature Rating: 10HP",40140061,137,CNMC-000137,True,94.2,139,SAIL,SA000139,CHECK TYPE VALVE Body Material:CAST IRON
780,ONGC,ON000780,Gaskets & Seals,O-RING,RUBBER,O-RING RUBBER CUSTOM,EACH,{},,31180009,780,CNMC-000780,False,49.8,831,CCL,CC000831,O-RING RUBBER STD
515,CPCL,CP000515,Electrical,CIRCUIT BREAKER,POWER,POWER TYPE CIRCUIT BREAKER Voltage:415V,NOSS,"{'Voltage': '415V', 'Current Rating': '50KW', 'Power Rating': '100HP', 'Conductor Material': 'STAINLESS STEEL 304', 'Insulation Type': 'HIGH'}",Voltage: 415V | Current Rating: 50KW | Power Rating: 100HP | Conductor Material: STAINLESS STEEL 304 | Insulation Type: HIGH,26000027,515,CNMC-000515,False,70.4,518,ONGC,ON000518,POWER TYPE CIRCUIT BREAKER Current Rating:50KW
